date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:11%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-629f2db6-281cf10;;;%22	https://courses.ankurwarikoo.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	183047/183047	---MCZ	200	added ('OK')	text/css	etag:W/%222c878-64868f0f-b4005ae;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	1524/1524	---MCZ	200	added ('OK')	text/css	etag:W/%2260b-648692d0-6c21501;gz%22	https://courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-1411.css?ver=1686541008	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-14116885.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:12%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yqfbtmf/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yqfbtmf/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	187328/187328	---MCZ	200	added ('OK')	text/css	etag:W/%222de34-64868f0e-9c008e8;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yqfbtmf/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yqfbtmf/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	156558/156558	---MCZ	200	added ('OK')	text/css	etag:W/%2228388-648693b7-6c21686;gz%22	https://courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-9259.css?ver=1686541239	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-925908af.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:13%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2cuzkb4o/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2cuzkb4o/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:14%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8wjf965i/9wnkp.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8wjf965i/9wnkp.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:15	479530/479530	---MCZ	200	added ('OK')	text/css	etag:W/%22751d8-64868f0e-882e6a4;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2cuzkb4o/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2cuzkb4o/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:16	59624/59624	---M-Z	200	added ('OK')	text/css	etag:%22e8e8-64868f11-ac001da;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8wjf965i/9wnkp.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8wjf965i/9wnkp.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:16%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ffb4x3o5/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ffb4x3o5/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:16	70713/70713	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2211439-64868f0f-8c02c35;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ffb4x3o5/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ffb4x3o5/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:17%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/3pf7hqe/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/3pf7hqe/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:17%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6o4mi85w/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6o4mi85w/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:18	281989/281989	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2244d90-64868f0f-8404a92;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/3pf7hqe/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/3pf7hqe/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:18	56049/56049	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e184-64868f0f-580614c;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6o4mi85w/9wnkn.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6o4mi85w/9wnkn.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:18	110178/110178	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2014%20Jun%202023%2019:27:18%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/course/connect.facebook.net/en_US/fbevents.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:18	486/486	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Nov%202022%2006:12:01%20GMT	https://courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-32x32.png	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-32x32.png	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:19	2152/2152	---M--	200	added ('OK')	image/png	etag:%22868-6367b773-9c0a84d;;;%22	https://courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-192x192.png	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-192x192.png	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:20	2724/2724	---M--	200	added ('OK')	image/png	etag:%22aa4-63675031-9c09abc;;;%22	https://courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-180x180.png	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/2021/01/cropped-cropped-Copy-of-aw-1-180x180.png	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:20%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6wz48mvc/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6wz48mvc/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:21	23572/23572	---MCZ	200	added ('OK')	text/css	etag:W/%225d1d-64868f0e-680026a;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6wz48mvc/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6wz48mvc/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:21	5069/5069	---M--	200	added ('OK')	image/png	etag:%2213cd-63674c67-3806a61;;;%22	https://courses.ankurwarikoo.com/wp-content/uploads/2022/10/493b0c29c3995efaa13a6ae0a0ca765e-1.png	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/2022/10/493b0c29c3995efaa13a6ae0a0ca765e-1.png	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:21	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-6092705e-7c15da7;;;%22	https://courses.ankurwarikoo.com/wp-content/plugins/wp-fastest-cache-premium/pro/images/blank.gif	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/plugins/wp-fastest-cache-premium/pro/images/blank.gif	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:21%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6z9kcviw/9wnkp.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6z9kcviw/9wnkp.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:22	3381/3381	---MCZ	200	added ('OK')	text/css	etag:W/%22d9c-64868f11-a80020c;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6z9kcviw/9wnkp.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6z9kcviw/9wnkp.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:22%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2aj26dc3/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2aj26dc3/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:22	29832/29832	---MCZ	200	added ('OK')	text/css	etag:W/%227496-64868f0e-6403d0e;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2aj26dc3/9wnkm.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/2aj26dc3/9wnkm.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:22%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/7ahs2ci0/9wnlp.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/7ahs2ci0/9wnlp.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:23	1690/1690	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2269a-64868f21-a80020f;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/7ahs2ci0/9wnlp.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/7ahs2ci0/9wnlp.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:23%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/efudxvus/9wnlo.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/efudxvus/9wnlo.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:23	840/840	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22348-64868f20-a403422;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/efudxvus/9wnlo.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/efudxvus/9wnlo.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:23%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/880ud2ft/9wnlo.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/880ud2ft/9wnlo.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:23	9069/9069	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22236d-64868f20-a0000cd;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/880ud2ft/9wnlo.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/880ud2ft/9wnlo.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:24%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/95vr5lug/9wnln.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/95vr5lug/9wnln.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:24	3037/3037	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22bdd-64868f1f-9c00913;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/95vr5lug/9wnln.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/95vr5lug/9wnln.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:24%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dsiatoxp/9wnlm.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dsiatoxp/9wnlm.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:24	1668/1668	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22684-64868f1e-980034b;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dsiatoxp/9wnlm.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/dsiatoxp/9wnlm.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:24%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ldclnt3b/9wnlm.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ldclnt3b/9wnlm.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:25	2066/2066	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22812-64868f1e-940024c;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ldclnt3b/9wnlm.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/ldclnt3b/9wnlm.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:25%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lm65arwi/9wnll.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lm65arwi/9wnll.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:25	2938/2938	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b7a-64868f1d-9000201;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lm65arwi/9wnll.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lm65arwi/9wnll.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:25%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lms9ecdj/9wnlk.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lms9ecdj/9wnlk.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:26	43245/43245	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22a8ed-64868f1c-84001d8;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lms9ecdj/9wnlk.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lms9ecdj/9wnlk.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:26%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8j6s8qo3/9wnlk.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8j6s8qo3/9wnlk.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:26	97454/97454	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2217caf-64868f1c-80008c6;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8j6s8qo3/9wnlk.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/8j6s8qo3/9wnlk.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:26%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/1smjhvz/9wnl9.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/1smjhvz/9wnl9.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:27%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/79x1cfmg/9wnl8.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/79x1cfmg/9wnl8.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:29	273910/273910	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2242df6-64868f1b-7c0027a;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/1smjhvz/9wnl9.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/1smjhvz/9wnl9.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:29	40/40	---M--	200	added ('OK')	application/x-javascript	etag:%2228-64868f1a-7801207;;;%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/79x1cfmg/9wnl8.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/79x1cfmg/9wnl8.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:29%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6lpzkymf/9wnl7.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6lpzkymf/9wnl7.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:30%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/78n3zpcz/9wnl6.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/78n3zpcz/9wnl6.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:31	135376/135376	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22210d0-64868f19-7404361;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6lpzkymf/9wnl7.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6lpzkymf/9wnl7.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:32	3048/3048	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22be8-64868f18-7000151;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/78n3zpcz/9wnl6.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/78n3zpcz/9wnl6.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:32%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/duokp88w/9wnl6.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/duokp88w/9wnl6.js	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:32	898/898	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22382-64868f18-6400188;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/duokp88w/9wnl6.js	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/duokp88w/9wnl6.js	(from https://courses.ankurwarikoo.com/communication-fb/)
